query_id,split
test2426,fit
test107,fit
test1228,fit
test2455,fit
test3117,fit
test282,fit
test54,fit
test1021,fit
test1848,fit
test375,fit
test2418,fit
test2882,fit
test1118,fit
test1907,fit
test1818,fit
test1801,fit
test418,fit
test778,fit
test1375,fit
test3415,fit
test2181,fit
test864,fit
test1376,fit
test709,fit
test842,fit
test508,fit
test3303,fit
test2193,fit
test2727,fit
test2186,fit
test405,fit
test863,fit
test2707,fit
test3011,fit
test385,fit
test517,fit
test1283,fit
test2524,fit
test3219,fit
test1168,fit
test2050,fit
test1831,fit
test2430,fit
test2755,fit
test3176,fit
test1368,fit
test1288,fit
test434,fit
test112,fit
test1018,fit
test1119,fit
test2480,fit
test3217,fit
test901,fit
test1173,fit
test2243,fit
test1446,fit
test2728,fit
test1964,fit
test2064,fit
test687,fit
test1571,fit
test3346,fit
test1336,fit
test2473,fit
test233,fit
test1493,fit
test1295,fit
test3331,fit
test3343,fit
test860,fit
test43,fit
test2165,fit
test3169,fit
test1443,fit
test2420,fit
test930,fit
test2291,fit
test2385,fit
test2436,fit
test1057,fit
test1859,fit
test1476,fit
test3084,fit
test892,fit
test174,fit
test2445,fit
test3414,fit
test828,fit
test666,fit
test1140,fit
test1712,fit
test3378,fit
test2046,fit
test1019,fit
test1041,fit
test3234,fit
test1103,fit
test695,fit
test1924,fit
test2663,fit
test2669,fit
test456,fit
test1002,fit
test1009,fit
test1329,fit
test1837,fit
test260,fit
test1172,fit
test117,fit
test1515,fit
test1027,fit
test3212,fit
test1485,fit
test2260,fit
test396,fit
test1691,fit
test1130,fit
test3389,fit
test3266,fit
test3023,fit
test109,fit
test1101,fit
test2528,fit
test1719,fit
test3391,fit
test1450,fit
test2099,fit
test1582,fit
test2953,fit
test3154,fit
test593,fit
test783,fit
test3403,fit
test3094,fit
test270,fit
test210,fit
test228,fit
test1500,fit
test3185,fit
test2078,fit
test769,fit
test2141,fit
test2465,fit
test522,fit
test2955,fit
test1108,fit
test2435,fit
test318,fit
test1583,fit
test899,fit
test1903,fit
test893,fit
test1743,fit
test2083,fit
test433,fit
test861,fit
test782,fit
test2259,fit
test2633,fit
test2002,fit
test2815,fit
test2,fit
test497,fit
test1770,fit
test2787,fit
test3058,fit
test836,fit
test3335,fit
test1429,fit
test1074,fit
test337,fit
test243,fit
test1843,fit
test2851,fit
test3306,fit
test3103,fit
test2820,fit
test494,fit
test141,fit
test1624,fit
test3265,fit
test3053,fit
test3274,fit
test1437,fit
test697,fit
test422,fit
test1806,fit
test2131,fit
test1015,fit
test2612,fit
test831,fit
test605,fit
test1455,fit
test1216,fit
test32,fit
test2849,fit
test1146,fit
test937,fit
test3267,fit
test915,fit
test2806,fit
test3177,fit
test965,fit
test1668,fit
test2087,fit
test1166,fit
test3445,fit
test2931,fit
test1001,fit
test2456,fit
test1894,fit
test1925,fit
test1401,fit
test1149,fit
test2736,fit
test2844,fit
test21,fit
test237,fit
test363,fit
test2798,fit
test163,fit
test739,fit
test2790,fit
test1468,fit
test432,fit
test315,fit
test786,fit
test3280,fit
test1492,fit
test158,fit
test1783,fit
test549,fit
test1497,fit
test2113,fit
test1092,fit
test2107,fit
test2740,fit
test1061,fit
test1559,fit
test992,fit
test2757,fit
test2997,fit
test1302,fit
test940,fit
test100,fit
test2381,fit
test927,fit
test822,fit
test3360,fit
test1072,fit
test1265,fit
test1471,fit
test2730,fit
test1403,fit
test1896,fit
test3069,fit
test2337,fit
test816,fit
test48,fit
test2499,fit
test1249,fit
test2365,fit
test2190,fit
test1674,fit
test955,fit
test794,fit
test289,fit
test159,fit
test950,fit
test2840,fit
test745,fit
test1632,fit
test2351,fit
test2255,fit
test1075,fit
test2227,fit
test2167,fit
test2970,fit
test200,fit
test1344,fit
test2217,fit
test2417,fit
test4,fit
test2752,fit
test3429,fit
test1098,fit
test2247,fit
test3024,fit
test898,fit
test1864,fit
test1378,fit
test805,fit
test257,fit
test2338,fit
test835,fit
test1405,fit
test777,fit
test2361,fit
test1981,fit
test1396,fit
test290,fit
test2211,fit
test2398,fit
test866,fit
test2741,fit
test417,fit
test548,fit
test3014,fit
test1360,fit
test2623,fit
test685,fit
test1064,fit
test2630,fit
test588,fit
test2043,fit
test2006,fit
test2280,fit
test143,fit
test176,fit
test1056,fit
test2395,fit
test1083,fit
test2944,fit
test10,fit
test55,fit
test1131,fit
test1636,fit
test2356,fit
test412,fit
test298,fit
test2221,fit
test324,fit
test2155,fit
test3400,fit
test1161,fit
test1307,fit
test2680,fit
test1025,fit
test1090,fit
test688,fit
test2775,fit
test1350,fit
test1689,fit
test189,fit
test1148,fit
test717,fit
test2322,fit
test2004,fit
test1956,fit
test1621,fit
test1261,fit
test3192,fit
test1532,fit
test1911,fit
test1463,fit
test2704,fit
test238,fit
test222,fit
test1504,fit
test1458,fit
test1947,fit
test2832,fit
test181,fit
test3204,fit
test1926,fit
test746,fit
test1438,fit
test1895,fit
test482,fit
test1322,fit
test716,fit
test1134,fit
test696,fit
test3098,fit
test428,fit
test40,fit
test2723,fit
test3018,fit
test1729,fit
test2483,fit
test2573,fit
test2371,fit
test2570,fit
test3148,fit
test533,fit
test791,fit
test585,fit
test1597,fit
test1933,fit
test2687,fit
test25,fit
test1751,fit
test2788,fit
test472,fit
test2477,fit
test3438,fit
test1040,fit
test529,fit
test3261,fit
test2696,fit
test2645,fit
test1270,fit
test1561,fit
test3080,fit
test1626,fit
test3342,fit
test1174,fit
test2590,fit
test1190,fit
test1721,fit
test227,fit
test2462,fit
test989,fit
test2889,fit
test2330,fit
test2898,fit
test3422,fit
test2601,fit
test974,fit
test1851,fit
test1805,fit
test826,fit
test3120,fit
test66,fit
test2198,fit
test1575,fit
test1659,fit
test1930,fit
test2656,fit
test3365,fit
test1802,fit
test449,fit
test1723,fit
test2212,fit
test1394,fit
test2317,fit
test1786,fit
test3390,fit
test187,fit
test2932,fit
test691,fit
test1834,fit
test1105,fit
test914,fit
test2988,fit
test586,fit
test1318,fit
test147,fit
test2166,fit
test225,fit
test185,fit
test5,fit
test287,fit
test2782,fit
test2836,fit
test2466,fit
test910,fit
test3382,fit
test1370,fit
test1658,fit
test2062,fit
test2536,fit
test1726,fit
test348,fit
test2952,fit
test2192,fit
test1652,fit
test2241,fit
test2904,fit
test1117,fit
test3278,fit
test2553,fit
test2797,fit
test1214,fit
test960,fit
test2171,fit
test795,fit
test382,fit
test3041,fit
test1506,fit
test2862,fit
test2308,fit
test1988,fit
test3097,fit
test1464,fit
test731,fit
test3282,fit
test3276,fit
test3111,fit
test2891,fit
test1821,fit
test1144,fit
test2888,fit
test2139,fit
test3168,fit
test2415,fit
test125,fit
test370,fit
test3201,fit
test1326,fit
test2484,fit
test545,fit
test3,fit
test851,fit
test1292,fit
test1824,fit
test2191,fit
test2971,fit
test2781,fit
test869,fit
test2627,fit
test1248,fit
test1578,fit
test1861,fit
test1311,fit
test672,fit
test1787,fit
test1133,fit
test1432,fit
test2290,fit
test358,fit
test1257,fit
test1209,fit
test1205,fit
test967,fit
test175,fit
test1247,fit
test1456,fit
test1526,fit
test1234,fit
test907,fit
test1164,fit
test2495,fit
test2823,fit
test120,fit
test1163,fit
test2218,fit
test1948,fit
test1548,fit
test3137,fit
test2196,fit
test1941,fit
test1630,fit
test1469,fit
test2474,fit
test234,fit
test2816,fit
test397,fit
test2285,fit
test201,fit
test1203,fit
test3372,fit
test801,fit
test1629,fit
test1242,fit
test1383,fit
test1039,fit
test3089,fit
test1905,fit
test213,fit
test2428,fit
test278,fit
test1338,fit
test1537,fit
test3242,fit
test3336,fit
test526,fit
test2551,fit
test457,fit
test3113,fit
test610,fit
test1384,fit
test671,fit
test2089,fit
test1457,fit
test3128,fit
test1558,fit
test1417,fit
test454,fit
test1315,fit
test2070,fit
test3043,fit
test728,fit
test3096,fit
test2102,fit
test1382,fit
test975,fit
test1035,fit
test683,fit
test1178,fit
test2498,fit
test3240,fit
test3314,fit
test1507,fit
test3095,fit
test416,fit
test3442,fit
test703,fit
test1922,fit
test2097,fit
test2911,fit
test2527,fit
test1543,fit
test2368,fit
test1294,fit
test2091,fit
test1365,fit
test2405,fit
test2854,fit
test501,fit
test2626,fit
test2447,fit
test2853,fit
test755,fit
test1137,fit
test825,fit
test1644,fit
test64,fit
test2278,fit
test675,fit
test775,fit
test221,fit
test2147,fit
test595,fit
test302,fit
test800,fit
test1327,fit
test2124,fit
test511,fit
test3052,fit
test2702,fit
test1052,fit
test2469,fit
test1237,fit
test1431,fit
test661,fit
test2945,fit
test1490,fit
test3047,fit
test3108,fit
test2765,fit
test1596,fit
test2496,fit
test2207,fit
test2173,fit
test2667,fit
test1412,fit
test1256,fit
test3114,fit
test2047,fit
test2804,fit
test2977,fit
test1883,fit
test1346,fit
test2759,fit
test945,fit
test1445,fit
test1180,fit
test2400,fit
test2985,fit
test2725,fit
test1833,fit
test2318,fit
test1993,fit
test704,fit
test119,fit
test3275,fit
test241,fit
test2269,fit
test2902,fit
test330,fit
test3246,fit
test1616,fit
test1788,fit
test2695,fit
test98,fit
test1593,fit
test1735,fit
test2363,fit
test1742,fit
test3339,fit
test2178,fit
test2591,fit
test649,fit
test465,fit
test2271,fit
test2429,fit
test3171,fit
test3138,fit
test470,fit
test305,fit
test3241,fit
test476,fit
test307,fit
test2513,fit
test1816,fit
test3214,fit
test1451,fit
test627,fit
test1316,fit
test244,fit
test2577,fit
test2773,fit
test1746,fit
test252,fit
test95,fit
test1000,fit
test3238,fit
test2394,fit
test2855,fit
test3003,fit
test761,fit
test2323,fit
test2478,fit
test1402,fit
test751,fit
test479,fit
test2358,fit
test1972,fit
test372,fit
test2917,fit
test2666,fit
test1585,fit
test3374,fit
test612,fit
test1845,fit
test3312,fit
test3162,fit
test2014,fit
test554,fit
test567,fit
test2766,fit
test488,fit
test970,fit
test2512,fit
test2471,fit
test2031,fit
test2603,fit
test1165,fit
test827,fit
test741,fit
test2761,fit
test3060,fit
test3387,fit
test195,fit
test277,fit
test442,fit
test1357,fit
test2011,fit
test979,fit
test1968,fit
test389,fit
test1046,fit
test2618,fit
test31,fit
test2609,fit
test3451,fit
test1765,fit
test3244,fit
test954,fit
test3179,fit
test3279,fit
test1066,fit
test505,fit
test2831,fit
test2058,fit
test3363,fit
test2734,fit
test2675,fit
test1309,fit
test1772,fit
test280,fit
test1832,fit
test923,fit
test1669,fit
test1262,fit
test1414,fit
test781,fit
test1224,fit
test1650,fit
test3066,fit
test2541,fit
test2127,fit
test150,fit
test30,fit
test1638,fit
test821,fit
test1929,fit
test2387,fit
test1421,fit
test34,fit
test1114,fit
test3083,fit
test2996,fit
test2813,fit
test387,fit
test641,fit
test1589,fit
test36,fit
test1915,fit
test2135,fit
test223,fit
test2972,fit
test917,fit
test3135,fit
test2508,fit
test420,fit
test1699,fit
test3050,fit
test3156,fit
test2299,fit
test1044,fit
test1059,fit
test3075,fit
test1069,fit
test2562,fit
test2272,fit
test1423,fit
test1591,fit
test3072,fit
test7,fit
test889,fit
test3067,fit
test1747,fit
test642,fit
test266,fit
test3193,fit
test734,fit
test2923,fit
test325,fit
test335,fit
test959,fit
test2101,fit
test1297,fit
test2998,fit
test1879,fit
test2684,fit
test2596,fit
test2343,fit
test850,fit
test983,fit
test3408,fit
test2825,fit
test2792,fit
test2586,fit
test2739,fit
test2268,fit
test824,fit
test1340,fit
test577,fit
test2978,fit
test2852,fit
test2662,fit
test2514,fit
test852,fit
test1426,fit
test332,fit
test122,fit
test2697,fit
test762,fit
test1870,fit
test562,fit
test2081,fit
test702,fit
test2572,fit
test1542,fit
test2642,fit
test3049,fit
test624,fit
test3321,fit
test178,fit
test626,fit
test2555,fit
test1978,fit
test1750,fit
test1646,fit
test1872,fit
test1661,fit
test707,fit
test2951,fit
test628,fit
test1639,fit
test3269,fit
test329,fit
test421,fit
test366,fit
test2194,fit
test3260,fit
test961,fit
test558,fit
test957,fit
test2201,fit
test153,fit
test653,fit
test1496,fit
test2980,fit
test3208,fit
test789,fit
test2776,fit
test1008,fit
test1521,fit
test2458,fit
test2373,fit
test1667,fit
test1827,fit
test2920,fit
test570,fit
test2292,fit
test2440,fit
test217,fit
test435,fit
test976,fit
test204,fit
test339,fit
test902,fit
test466,fit
test2966,fit
test3347,fit
test3062,fit
test2668,fit
test3299,fit
test1121,fit
test2575,fit
test2657,fit
test2450,fit
test2502,fit
test2564,fit
test444,fit
test148,fit
test1635,fit
test1152,fit
test256,fit
test2100,fit
test207,fit
test1549,fit
test1126,fit
test1187,fit
test2013,fit
test1934,fit
test209,fit
test891,fit
test3323,fit
test46,fit
test430,fit
test3310,fit
test1424,fit
test154,fit
test1183,fit
test2899,fit
test2362,fit
test1528,fit
test1206,fit
test2571,fit
test2745,fit
test900,fit
test2637,fit
test3134,fit
test1702,fit
test2791,fit
test1551,fit
test2264,fit
test3373,fit
test1547,fit
test126,fit
test611,fit
test2267,fit
test2220,fit
test3383,fit
test231,fit
test1566,fit
test2424,fit
test2743,fit
test2726,fit
test936,fit
test2001,fit
test2319,fit
test464,fit
test1304,fit
test2842,fit
test2187,fit
test131,fit
test49,fit
test2654,fit
test128,fit
test3183,fit
test753,fit
test1207,fit
test2762,fit
test1422,validation
test2531,validation
test2138,validation
test3061,validation
test61,validation
test3337,validation
test3220,validation
test3221,validation
test629,validation
test1151,validation
test1556,validation
test757,validation
test1333,validation
test2843,validation
test1231,validation
test2830,validation
test1952,validation
test2158,validation
test1317,validation
test2529,validation
test792,validation
test3399,validation
test186,validation
test1444,validation
test2219,validation
test3022,validation
test1142,validation
test2209,validation
test2948,validation
test2720,validation
test2710,validation
test2995,validation
test1398,validation
test167,validation
test1519,validation
test557,validation
test752,validation
test1919,validation
test993,validation
test2378,validation
test124,validation
test2018,validation
test14,validation
test3205,validation
test438,validation
test491,validation
test1995,validation
test1887,validation
test854,validation
test263,validation
test2320,validation
test1191,validation
test636,validation
test134,validation
test3444,validation
test3369,validation
test886,validation
test793,validation
test538,validation
test1705,validation
test1467,validation
test2270,validation
test226,validation
test1752,validation
test1627,validation
test1733,validation
test2566,validation
test1474,validation
test1715,validation
test3141,validation
test2301,validation
test2349,validation
test1352,validation
test429,validation
test589,validation
test1082,validation
test807,validation
test2021,validation
test3015,validation
test2399,validation
test543,validation
test1466,validation
test797,validation
test527,validation
test1321,validation
test613,validation
test990,validation
test1862,validation
test1362,validation
test3228,validation
test1145,validation
test2066,validation
test1202,validation
test1266,validation
test1475,validation
test2799,validation
test1068,validation
test2648,validation
test3068,validation
test3448,validation
test2616,validation
test1613,validation
test3237,validation
test733,validation
test1071,validation
test259,validation
test1764,validation
test1563,validation
test3420,validation
test2235,validation
test3099,validation
test3131,validation
test2414,validation
test2587,validation
test3184,validation
test1192,validation
test2475,validation
test744,validation
test406,validation
test1601,validation
test732,validation
test1969,validation
test2448,validation
test2809,validation
test1157,validation
test1006,validation
test2019,validation
test1984,validation
test3370,validation
test142,validation
test275,validation
test2261,validation
test3019,validation
test1536,validation
test1974,validation
test3124,validation
test461,validation
test1213,validation
test845,validation
test364,validation
test367,validation
test2510,validation
test531,validation
test2340,validation
test941,validation
test208,validation
test165,validation
test333,validation
test643,validation
test1854,validation
test351,validation
test76,validation
test137,validation
test3315,validation
test2228,validation
test2964,validation
test1717,validation
test2377,validation
test1289,validation
test1503,validation
test2464,validation
test352,validation
test2494,validation
test3264,validation
test3257,validation
test377,validation
test3302,validation
test1406,validation
test1673,validation
test3368,validation
test1080,validation
test2282,validation
test2921,validation
test2758,validation
test1076,validation
test3334,validation
test2885,validation
test1153,validation
test1381,validation
test2610,validation
test75,validation
test1754,validation
test403,validation
test3248,validation
test3349,validation
test1643,validation
test1081,validation
test2909,validation
test1860,validation
test155,validation
test1759,validation
test3059,validation
test2376,validation
test486,validation
test1447,validation
test1763,validation
test2105,validation
test1688,validation
test1385,validation
test878,validation
test253,validation
test2897,validation
test2620,validation
test1240,validation
test1935,validation
test3017,validation
test2237,validation
test2835,validation
test2236,validation
test1488,validation
test1011,validation
test1530,validation
test3172,validation
test1300,validation
test391,validation
test1518,validation
test1649,validation
test699,validation
test1619,validation
test738,validation
test935,validation
test2120,validation
test2719,validation
test347,validation
test2639,validation
test1623,validation
test2334,validation
test2306,validation
test1881,validation
test1599,validation
test2360,validation
test1612,validation
test2432,validation
test1120,validation
test1065,validation
test103,validation
test2563,validation
test2213,validation
test1660,validation
test689,validation
test977,validation
test2463,validation
test3273,validation
test1809,validation
test871,validation
test3222,validation
test394,validation
test678,validation
test2403,validation
test3259,validation
test1826,validation
test742,validation
test1779,validation
test199,validation
test1525,validation
test1966,validation
test985,validation
test162,validation
test948,validation
test3224,validation
test1839,validation
test3048,validation
test3065,validation
test2175,validation
test3105,validation
test3136,validation
test1359,validation
test1478,validation
test2890,validation
test2960,validation
test1034,validation
test343,validation
test135,validation
test41,validation
test1420,validation
test1250,validation
test136,validation
test2215,validation
test3006,validation
test2136,validation
test2863,validation
test686,validation
test2425,validation
test651,validation
test2866,validation
test3115,validation
test774,validation
test2814,validation
test2503,validation
test2845,validation
test3239,validation
test462,validation
test787,validation
test2693,validation
test2748,validation
test1795,validation
test127,validation
test1544,validation
test813,validation
test1259,validation
test2750,validation
test718,validation
test2802,validation
test598,validation
test895,validation
test478,validation
test27,validation
test561,validation
test3249,validation
test1706,validation
test1411,validation
test3213,validation
test564,validation
test3426,validation
test3042,validation
test1615,validation
test353,validation
test809,validation
test1306,validation
test890,validation
test2805,validation
test1459,validation
test467,validation
test991,validation
test2991,validation
test111,validation
test1129,validation
test1553,validation
test3130,validation
test424,validation
test1277,validation
test705,validation
test1024,validation
test3250,validation
test2922,validation
test1409,validation
test2300,validation
test2346,validation
test3233,validation
test1264,validation
test1737,validation
test2947,validation
test319,validation
test1363,validation
test445,validation
test1796,validation
test664,validation
test304,validation
test2143,validation
test1477,validation
test1798,validation
test2390,validation
test528,validation
test2071,validation
test2451,validation
test1865,validation
test3021,validation
test2839,validation
test1393,validation
test520,validation
